Running test (t=16.9)...
partitioning took 7944004 us
partitioning took 7944014 us
partitioning took 7943973 us
partitioning took 7944020 us
partitioning took 7944046 us
partitioning took 7944035 us
partitioning took 7944025 us
partitioning took 7944032 us
partitioning took 7944016 us
partitioning took 7944041 us
partitioning took 7944011 us
partitioning took 7944038 us
partitioning took 7944025 us
partitioning took 7944022 us
partitioning took 7944005 us
partitioning took 7944031 us
partitioning took 7943946 us
partitioning took 7944027 us
partitioning took 7943997 us
partitioning took 7944022 us
partitioning took 7944038 us
partitioning took 7944025 us
partitioning took 7944017 us
partitioning took 7944054 us
partitioning took 7944030 us
partitioning took 7944032 us
partitioning took 7944038 us
cycle   20    sim time 4.089e-05    dt 2.121e-06    time 2.808e-02 (per iteration) 7.962e-01 (total)
partitioning took 7944125 us
partitioning took 7944040 us
partitioning took 7944035 us
partitioning took 7944023 us
partitioning took 7944021 us
ELAPSED TIME =   0.801 s
partitioning took 7944030 us
Reading "/users/wclee/legion/language/pennant/pennant.tests/leblanc_long256x30/leblanc.pnt"...
Config meshtype = "rect"
Config alfa = 5.00e-01
Config bcx = 0.00e+00 1.95e-03
Config bcx_n = 2
Config bcy = 0.00e+00 9.00e+00
Config bcy_n = 2
Config cfl = 6.00e-01
Config cflv = 1.00e-01
Config chunksize = 512
Config cstop = 30
Config dtfac = 1.20e+00
Config dtinit = 6.25e-07
Config dtmax = 1.00e+99
Config dtreport = 1.00e+02
Config einit = 1.00e-01
Config einitsub = 1.00e-07
Config gamma = 1.67e+00
Config meshscale = 1.00e+00
Config q1 = 3.00e-01
Config q2 = 2.00e+00
Config qgamma = 1.67e+00
Config rinit = 1.00e+00
Config rinitsub = 1.00e-03
Config ssmin = 1.00e-01
Config subregion = 0.00e+00 1.95e-03 3.00e+00 9.00e+00
Config subregion_n = 4
Config tstop = 6.00e+00
Config uinitradial = 0.00e+00
Config meshparams = 3.20e+02 1.47e+06 1.95e-03 9.00e+00
Config meshparams_n = 4
Config meshtype = 1
Config nzx = 320
Config nzy = 1474560
Config numpcx = 1
Config numpcy = 256
Config lenx = 1.95e-03
partitioning took 7944039 us
partitioning took 7944040 us
partitioning took 7944008 us
partitioning took 7944023 us
partitioning took 7944053 us
partitioning took 7943968 us
partitioning took 7944028 us
partitioning took 7944023 us
Initializing (t=19.6)...
partitioning took 7944032 us
partitioning took 7944028 us
partitioning took 7944036 us
partitioning took 7944021 us
partitioning took 7944037 us
partitioning took 7944013 us
partitioning took 7944023 us
partitioning took 7944033 us
partitioning took 7944020 us
partitioning took 7944029 us
partitioning took 7944026 us
partitioning took 7944022 us
partitioning took 7944016 us
partitioning took 7944004 us
partitioning took 7943995 us
partitioning took 7944042 us
partitioning took 7944027 us
partitioning took 7944050 us
partitioning took 7943911 us
partitioning took 7944026 us
partitioning took 7944035 us
partitioning took 7944022 us
partitioning took 7944004 us
partitioning took 7943891 us
partitioning took 7944031 us
partitioning took 7944034 us
partitioning took 7943922 us
partitioning took 7944024 us
partitioning took 7944019 us
partitioning took 7944062 us
partitioning took 7943928 us
partitioning took 7944032 us
partitioning took 7944031 us
cycle   60    sim time 1.123e-04    dt 1.615e-06    time 2.666e-02 (per iteration) 1.864e+00 (total)
partitioning took 7944029 us
partitioning took 7944038 us
partitioning took 7944031 us
partitioning took 7944042 us
partitioning took 7944022 us
Starting simulation (t=27.8)...
partitioning took 7944043 us
partitioning took 7944035 us
partitioning took 7944031 us
partitioning took 7944015 us
partitioning took 7944009 us
partitioning took 7943994 us
partitioning took 7944029 us
partitioning took 7944025 us
partitioning took 7944006 us
partitioning took 7944106 us
partitioning took 7944033 us
partitioning took 7943965 us
cycle   40    sim time 7.863e-05    dt 1.748e-06    time 2.655e-02 (per iteration) 1.328e+00 (total)
partitioning took 7944046 us
partitioning took 7944022 us
partitioning took 7944033 us
partitioning took 7944018 us
partitioning took 7944037 us
partitioning took 7944035 us
partitioning took 7944016 us
partitioning took 7944025 us
partitioning took 7944024 us
Warning: Skipping sequential validation
partitioning took 7944026 us
partitioning took 7944030 us
partitioning took 7944012 us
partitioning took 7944032 us
partitioning took 7944025 us
partitioning took 7944011 us
partitioning took 7944022 us
partitioning took 7943994 us
partitioning took 7944041 us
partitioning took 7944039 us
partitioning took 7944027 us
cycle   80    sim time 1.436e-04    dt 1.525e-06    time 2.690e-02 (per iteration) 2.401e+00 (total)
partitioning took 7943917 us
partitioning took 7943936 us
partitioning took 7944066 us
partitioning took 7944024 us
partitioning took 7943997 us
partitioning took 7944016 us
partitioning took 7944037 us
partitioning took 7944091 us
partitioning took 7944042 us
partitioning took 7944002 us
partitioning took 7944031 us
partitioning took 7943987 us
partitioning took 7944091 us
partitioning took 7944030 us
partitioning took 7944002 us
partitioning took 7943946 us
partitioning took 7944035 us
partitioning took 7944023 us
partitioning took 7944035 us
partitioning took 7943955 us
partitioning took 7944029 us
Config leny = 9.00e+00
Config nz = 471859200
Config np = 473334081
Config ns = 1887436800
Config maxznump = 4
Config npieces = 256
Config par_init = 1
Config seq_init = 0
Config print_ts = 0
Config enable = 1
Config warmup = 0
Config prune = 30
Config compact = 1
Config internal = 1
Config interior = 1
Config stripsize = 128
Config spansize = 2048
Config nspans_zones = 0
Config nspans_points = 0
Mesh memory usage:
  Zones  : 471859200 *  192 bytes = 90596966400 bytes
  Points : 473334081 *  128 bytes = 60586762368 bytes
  Sides  : 1887436800 *  256 bytes = 483183820800 bytes
  Total                             634367549568 bytes
partitioning took 7944029 us
