Running test (t=16.9)...
partitioning took 8203337 us
partitioning took 8203292 us
partitioning took 8203322 us
partitioning took 8203297 us
partitioning took 8203269 us
partitioning took 8203197 us
partitioning took 8203274 us
partitioning took 8203294 us
Elapsed time = 2.663991e+00 (total)
partitioning took 8203383 us
partitioning took 8203259 us
partitioning took 8203241 us
partitioning took 8203275 us
partitioning took 8203293 us
partitioning took 8203309 us
partitioning took 8203297 us
partitioning took 8203258 us
partitioning took 8203250 us
partitioning took 8203334 us
partitioning took 8203259 us
partitioning took 8203253 us
partitioning took 8203322 us
partitioning took 8203305 us
partitioning took 8203282 us
partitioning took 8203269 us
partitioning took 8203335 us
partitioning took 8203264 us
partitioning took 8203250 us
partitioning took 8203272 us
partitioning took 8203331 us
partitioning took 8203349 us
partitioning took 8203295 us
partitioning took 8203233 us
partitioning took 8203349 us
partitioning took 8203304 us
partitioning took 8203301 us
partitioning took 8203317 us
partitioning took 8203256 us
partitioning took 8203330 us
Reading "/users/wclee/legion/language/pennant/pennant.tests/leblanc_long256x30/leblanc.pnt"...
Config meshtype = "rect"
Config alfa = 5.00e-01
Config bcx = 0.00e+00 1.95e-03
Config bcx_n = 2
Config bcy = 0.00e+00 9.00e+00
Config bcy_n = 2
Config cfl = 6.00e-01
Config cflv = 1.00e-01
Config chunksize = 512
Config cstop = 30
Config dtfac = 1.20e+00
Config dtinit = 6.25e-07
Config dtmax = 1.00e+99
Config dtreport = 1.00e+02
Config einit = 1.00e-01
Config einitsub = 1.00e-07
Config gamma = 1.67e+00
Config meshscale = 1.00e+00
Config q1 = 3.00e-01
Config q2 = 2.00e+00
Config qgamma = 1.67e+00
Config rinit = 1.00e+00
Config rinitsub = 1.00e-03
Config ssmin = 1.00e-01
Config subregion = 0.00e+00 1.95e-03 3.00e+00 9.00e+00
Config subregion_n = 4
Config tstop = 6.00e+00
Config uinitradial = 0.00e+00
Config meshparams = 3.20e+02 1.47e+06 1.95e-03 9.00e+00
Config meshparams_n = 4
Config meshtype = 1
Config nzx = 320
Config nzy = 1474560
Config numpcx = 1
Config numpcy = 256
Config lenx = 1.95e-03
partitioning took 8203262 us
cycle   20    sim time 4.089e-05    dt 2.121e-06    time 2.818e-02 (per iteration) 7.953e-01 (total)
partitioning took 8203328 us
partitioning took 8203265 us
partitioning took 8203333 us
partitioning took 8203292 us
partitioning took 8203266 us
partitioning took 8203374 us
partitioning took 8203292 us
partitioning took 8203303 us
partitioning took 8203331 us
partitioning took 8203249 us
partitioning took 8203342 us
partitioning took 8203316 us
partitioning took 8203321 us
partitioning took 8203278 us
partitioning took 8203309 us
Starting simulation (t=28.0)...
partitioning took 8203298 us
partitioning took 8203296 us
partitioning took 8203338 us
partitioning took 8203287 us
partitioning took 8203385 us
partitioning took 8203278 us
partitioning took 8203341 us
partitioning took 8203347 us
partitioning took 8203243 us
partitioning took 8203260 us
partitioning took 8203250 us
cycle   60    sim time 1.123e-04    dt 1.615e-06    time 2.668e-02 (per iteration) 1.866e+00 (total)
partitioning took 8203282 us
partitioning took 8203384 us
partitioning took 8203259 us
partitioning took 8203250 us
partitioning took 8203259 us
partitioning took 8203266 us
partitioning took 8203361 us
partitioning took 8203254 us
partitioning took 8203359 us
partitioning took 8203363 us
partitioning took 8203243 us
partitioning took 8203228 us
partitioning took 8203322 us
cycle   40    sim time 7.863e-05    dt 1.748e-06    time 2.659e-02 (per iteration) 1.327e+00 (total)
partitioning took 8203347 us
partitioning took 8203349 us
partitioning took 8203313 us
cycle   80    sim time 1.436e-04    dt 1.525e-06    time 2.663e-02 (per iteration) 2.398e+00 (total)
partitioning took 8203355 us
partitioning took 8203348 us
partitioning took 8203267 us
ELAPSED TIME =   0.804 s
partitioning took 8203357 us
partitioning took 8203264 us
partitioning took 8203328 us
partitioning took 8203293 us
partitioning took 8203340 us
partitioning took 8203327 us
partitioning took 8203377 us
partitioning took 8203255 us
partitioning took 8203294 us
partitioning took 8203322 us
partitioning took 8203242 us
partitioning took 8203319 us
partitioning took 8203238 us
partitioning took 8203332 us
partitioning took 8203334 us
partitioning took 8203244 us
partitioning took 8203239 us
partitioning took 8203274 us
Initializing (t=19.5)...
partitioning took 8203291 us
partitioning took 8203347 us
partitioning took 8203328 us
partitioning took 8203304 us
partitioning took 8203299 us
partitioning took 8203340 us
partitioning took 8203322 us
partitioning took 8203255 us
partitioning took 8203302 us
partitioning took 8203266 us
partitioning took 8203303 us
partitioning took 8203320 us
partitioning took 8203215 us
partitioning took 8203338 us
partitioning took 8203234 us
partitioning took 8203313 us
partitioning took 8203391 us
partitioning took 8203283 us
partitioning took 8203293 us
partitioning took 8203362 us
partitioning took 8203291 us
partitioning took 8203288 us
partitioning took 8203261 us
partitioning took 8203213 us
partitioning took 8203295 us
partitioning took 8203311 us
partitioning took 8203221 us
partitioning took 8203341 us
partitioning took 8203227 us
partitioning took 8203302 us
partitioning took 8203252 us
partitioning took 8203260 us
partitioning took 8203339 us
partitioning took 8203327 us
partitioning took 8203362 us
partitioning took 8203236 us
Warning: Skipping sequential validation
partitioning took 8203361 us
partitioning took 8203298 us
partitioning took 8203267 us
partitioning took 8203353 us
partitioning took 8203256 us
partitioning took 8203375 us
partitioning took 8203340 us
partitioning took 8203293 us
partitioning took 8203273 us
partitioning took 8203300 us
partitioning took 8203299 us
partitioning took 8203322 us
partitioning took 8203212 us
partitioning took 8203320 us
partitioning took 8203257 us
partitioning took 8203320 us
partitioning took 8203352 us
partitioning took 8203311 us
partitioning took 8203249 us
partitioning took 8203363 us
partitioning took 8203318 us
partitioning took 8203376 us
partitioning took 8203381 us
partitioning took 8203301 us
partitioning took 8203309 us
partitioning took 8203306 us
partitioning took 8203299 us
Config leny = 9.00e+00
Config nz = 471859200
Config np = 473334081
Config ns = 1887436800
Config maxznump = 4
Config npieces = 256
Config par_init = 1
Config seq_init = 0
Config print_ts = 0
Config enable = 1
Config warmup = 0
Config prune = 30
Config compact = 1
Config internal = 1
Config interior = 1
Config stripsize = 128
Config spansize = 2048
Config nspans_zones = 0
Config nspans_points = 0
Mesh memory usage:
  Zones  : 471859200 *  192 bytes = 90596966400 bytes
  Points : 473334081 *  128 bytes = 60586762368 bytes
  Sides  : 1887436800 *  256 bytes = 483183820800 bytes
  Total                             634367549568 bytes
partitioning took 8203274 us
